method,n_admissions_evaluated,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
baseline,128,0.48092105263157897,0.6378708551483421,0.5483870967741936,0.18188865297327683,0.2306638191328462,0.1852465352273222
trained_model,128,0.2860750360750361,0.6919720767888308,0.40479836651352735,0.12892621916951744,0.35720845431899634,0.1666714662004739
